Date,Channel,Pay period,Customer group,Campaign,Clicks,Impressions,Signups,FTD Count,FTD Amount,Deposits,Withdrawals,NGR,Income
2026-03-07,BetWarrior Brazil,2026-03-01,0,Uol - 970x90 - Tênis,1,0,0,0,0,0,0,0,0.00
2026-03-07,BetWarrior Brazil,2026-03-01,0,Uol - 300x250 - Tênis,2,0,0,0,0,0,0,0,0.00
2026-03-07,BetWarrior Brazil,2026-03-01,0,Uol - 16x9 - Institucional,325,0,0,0,0,0,0,0,0.00
2026-03-08,BetWarrior Brazil,2026-03-01,0,Uol - 728x90 - Basquete,30,0,0,0,0,0,0,0,0.00
2026-03-08,BetWarrior Brazil,2026-03-01,0,Uol - 300x250 - Basquete,1,0,0,0,0,0,0,0,0.00
2026-03-08,BetWarrior Brazil,2026-03-01,0,Uol - 300x100 - Futebol,72,0,0,0,0,0,0,0,0.00
2026-03-08,BetWarrior Brazil,2026-03-01,0,Uol - 320x100 - Tênis,46,0,0,0,0,0,0,0,0.00
2026-03-08,BetWarrior Brazil,2026-03-01,0,Uol - 300x250 - Tênis,2,0,0,0,0,0,0,0,0.00
2026-03-08,BetWarrior Brazil,2026-03-01,0,Uol - 16x9 - Institucional,662,0,0,0,0,0,0,0,0.00
2026-03-08,BetWarrior Brazil,2026-03-01,0,Uol - diária mobile - diária mobile,1598,0,1,0,0,0,0,0,0.00
2026-03-09,BetWarrior Brazil,2026-03-01,0,Uol - 728x90 - Basquete,295,0,0,0,0,0,0,0,0.00
2026-03-09,BetWarrior Brazil,2026-03-01,0,Uol - 300x250 - Basquete,18,0,0,0,0,0,0,0,0.00
2026-03-09,BetWarrior Brazil,2026-03-01,0,Uol - 300x100 - Futebol,25,0,0,0,0,0,0,0,0.00
2026-03-09,BetWarrior Brazil,2026-03-01,0,Uol - 300x250 - Futebol,76,0,0,0,0,0,0,0,0.00
2026-03-09,BetWarrior Brazil,2026-03-01,0,Uol - 320x100 - Tênis,20,0,0,0,0,0,0,0,0.00
2026-03-09,BetWarrior Brazil,2026-03-01,0,Uol - 970x90 - Tênis,2,0,0,0,0,0,0,0,0.00
2026-03-09,BetWarrior Brazil,2026-03-01,0,Uol - 300x250 - Tênis,74,0,0,0,0,0,0,0,0.00
2026-03-09,BetWarrior Brazil,2026-03-01,0,Uol - 16x9 - Institucional,1523,0,0,0,0,0,0,0,0.00
2026-03-09,BetWarrior Brazil,2026-03-01,0,Uol - diária mobile - diária mobile,396,0,0,0,0,0,0,0,0.00
2026-03-09,BetWarrior Brazil,2026-03-01,0,365 Scores - Interstial - Institucional,673,0,0,0,0,0,0,0,0.00
2026-03-09,BetWarrior Brazil,2026-03-01,0,365 Scores - Banner - Institucional,53,0,0,0,0,0,0,0,0.00
2026-03-09,BetWarrior Brazil,2026-03-01,0,365 Scores - MPU - Institucional,23,0,0,0,0,0,0,0,0.00
2026-03-09,BetWarrior Brazil,2026-03-01,0,365 Scores - Floating Button - Institucional,57,0,0,0,0,0,0,0,0.00
2026-03-09,BetWarrior Brazil,2026-03-01,0,365 Scores - Home Page Takeover - Institucional,52,0,0,0,0,0,0,0,0.00
2026-03-09,BetWarrior Brazil,2026-03-01,0,Siprocal - Push Notification - Institucional,1,0,0,0,0,0,0,0,0.00
2026-03-10,BetWarrior Brazil,2026-03-01,0,Uol - 728x90 - Basquete,285,0,0,0,0,0,0,0,0.00
2026-03-10,BetWarrior Brazil,2026-03-01,0,Uol - 300x250 - Basquete,24,0,0,0,0,0,0,0,0.00
2026-03-10,BetWarrior Brazil,2026-03-01,0,Uol - 300x100 - Futebol,12,0,0,0,0,0,0,0,0.00
2026-03-10,BetWarrior Brazil,2026-03-01,0,Uol - 300x250 - Futebol,87,0,0,0,0,0,0,0,0.00
2026-03-10,BetWarrior Brazil,2026-03-01,0,Uol - 320x100 - Tênis,13,0,0,0,0,0,0,0,0.00
2026-03-10,BetWarrior Brazil,2026-03-01,0,Uol - 970x90 - Tênis,1,0,0,0,0,0,0,0,0.00
2026-03-10,BetWarrior Brazil,2026-03-01,0,Uol - 300x250 - Tênis,32,0,0,0,0,0,0,0,0.00
2026-03-10,BetWarrior Brazil,2026-03-01,0,Uol - 16x9 - Institucional,1367,0,0,0,0,0,0,0,0.00
2026-03-10,BetWarrior Brazil,2026-03-01,0,Uol - diária mobile - diária mobile,18,0,0,0,0,0,0,0,0.00
2026-03-10,BetWarrior Brazil,2026-03-01,0,365 Scores - Interstial - Institucional,375,0,1,0,0,0,0,0,0.00
2026-03-10,BetWarrior Brazil,2026-03-01,0,365 Scores - Banner - Institucional,34,0,0,0,0,0,0,0,0.00
2026-03-10,BetWarrior Brazil,2026-03-01,0,365 Scores - MPU - Institucional,17,0,0,0,0,0,0,0,0.00
2026-03-10,BetWarrior Brazil,2026-03-01,0,365 Scores - Floating Button - Institucional,28,0,0,0,0,0,0,0,0.00
2026-03-10,BetWarrior Brazil,2026-03-01,0,365 Scores - Home Page Takeover - Institucional,59,0,0,0,0,0,0,0,0.00
2026-03-11,BetWarrior Brazil,2026-03-01,0,Uol - 728x90 - Basquete,220,0,0,0,0,0,0,0,0.00
2026-03-11,BetWarrior Brazil,2026-03-01,0,Uol - 300x250 - Basquete,12,0,0,0,0,0,0,0,0.00
2026-03-11,BetWarrior Brazil,2026-03-01,0,Uol - 300x100 - Futebol,4,0,0,0,0,0,0,0,0.00
2026-03-11,BetWarrior Brazil,2026-03-01,0,Uol - 300x250 - Futebol,37,0,0,0,0,0,0,0,0.00
2026-03-11,BetWarrior Brazil,2026-03-01,0,Uol - 320x100 - Tênis,10,0,0,0,0,0,0,0,0.00
2026-03-11,BetWarrior Brazil,2026-03-01,0,Uol - 970x90 - Tênis,3,0,0,0,0,0,0,0,0.00
2026-03-11,BetWarrior Brazil,2026-03-01,0,Uol - 300x250 - Tênis,54,0,0,0,0,0,0,0,0.00
2026-03-11,BetWarrior Brazil,2026-03-01,0,Uol - 16x9 - Institucional,843,0,0,0,0,0,0,0,0.00
2026-03-11,BetWarrior Brazil,2026-03-01,0,Uol - diária mobile - diária mobile,10,0,0,0,0,0,0,0,0.00
2026-03-11,BetWarrior Brazil,2026-03-01,0,365 Scores - Interstial - Institucional,21,0,0,0,0,0,0,0,0.00
2026-03-11,BetWarrior Brazil,2026-03-01,0,365 Scores - Banner - Institucional,1,0,0,0,0,0,0,0,0.00
2026-03-11,BetWarrior Brazil,2026-03-01,0,365 Scores - Floating Button - Institucional,1,0,0,0,0,0,0,0,0.00
2026-03-11,BetWarrior Brazil,2026-03-01,0,Siprocal - Push Notification - Institucional,1,0,0,0,0,0,0,0,0.00
2026-03-12,BetWarrior Brazil,2026-03-01,0,Uol - 728x90 - Basquete,273,0,0,0,0,0,0,0,0.00
2026-03-12,BetWarrior Brazil,2026-03-01,0,Uol - 300x250 - Basquete,30,0,0,0,0,0,0,0,0.00
2026-03-12,BetWarrior Brazil,2026-03-01,0,Uol - 300x100 - Futebol,26,0,0,0,0,0,0,0,0.00
2026-03-12,BetWarrior Brazil,2026-03-01,0,Uol - 300x250 - Futebol,72,0,0,0,0,0,0,0,0.00
2026-03-12,BetWarrior Brazil,2026-03-01,0,Uol - 320x100 - Tênis,22,0,0,0,0,0,0,0,0.00
